Date / Time,City,State,Shape,Duration,Summary,Posted,Type,text,Lat,Lng
2/24/20 12:45,Chester,NH,Disk,~1 minute,"12:45 PM-shiny, disk/saucer shape seen in daylight over 101 north towards Chester, NH. Seen swaying side to side.",2/25/20,Sighting,Sighting : Chester,42.9567525,-71.25728459999999
2/24/20 06:00,Medford,OR,Formation,5 minutes,"20 lights in formation across sky. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Medford,42.3265152,-122.8755949
2/24/20 05:45,Medford,OR,Other,10 minutes,AT 545 AM I LOOKED UP AND SAID WHAT THE HELL IS THAT.,2/25/20,Sighting,Sighting : Medford,42.3265152,-122.8755949
2/24/20 05:30,Charlestown,RI,Light,2-3 minutes,light moving at a high rate of speed,2/25/20,Sighting,Sighting : Charlestown,41.3832162,-71.64187439999999
2/24/20 05:21,Edison,NJ,Light,25 seconds,DURING ISS PASS VIEWING SMALL OBJECT APPEARS THEN WINKS OUT,2/25/20,Sighting,Sighting : Edison,40.5187154,-74.4120953
2/24/20 04:30,North Pole,AK,Unknown,10 minutes,"Yellowish sphere, with light and a haze to it, stopped went back the direction it came from.",2/25/20,Sighting,Sighting : North Pole,64.7511111,-147.3494443
2/23/20 22:30,Stockton,CA,Formation,5 minutes,Formation of light that slowly disappears into the the night.,2/25/20,Sighting,Sighting : Stockton,37.9577016,-121.2907796
2/23/20 22:00,Honolulu,HI,Light,:03,"I saw an orange light on a vehicle over the residential area of Waikiki beach, Oahu, Hawaii.",2/25/20,Sighting,Sighting : Honolulu,21.3069444,-157.8583333
2/23/20 21:00,Ambler,PA,Triangle,2 minutes,6 or so bright lights hovering in a V shape with red on the end points then vanished.,2/25/20,Sighting,Sighting : Ambler,40.1545535,-75.22156509999999
2/23/20 20:15,Windsor,CT,Changing,20 minutes or more,I went out to walk my dog and in the NW sky there was an extremely bright light started as white and although I caould not make out a s,2/25/20,Sighting,Sighting : Windsor,41.8525984,-72.64370219999999
2/23/20 20:06,Greenville,IL,Circle,,"White, Glowing dots in the Sky.",2/25/20,Sighting,Sighting : Greenville,38.8922687,-89.41313559999999
2/23/20 20:00,Lake Elmo,MN,Teardrop,1 minute,Hovering craft with bright light over Lake elmo,2/25/20,Sighting,Sighting : Lake Elmo,44.9957998,-92.8793768
2/23/20 16:00,Lake Worth Beach,FL,Light,15 minutes,2 lights off coast of lake worth beach over ocean. Turned black and disappeared into the water or horizon.,2/25/20,Sighting,Sighting : Lake Worth Beach,26.6167555,-80.0684479
2/23/20 14:00,Upper Makefield (Above Delaware River),PA,Rectangle,20 minutes,Upon observing the sky as I often do spotting commercial aircraft I saw a stationary angular white object rotate erratically for about,2/25/20,Sighting,Sighting : Upper Makefield (Above Delaware River),40.2994965,-74.9325683
2/23/20 09:50,Girard,PA,Other,7-8 seconds,"A very large, elongated vehicle with a lot of scattered lights, appeared as a shadow and floated by overhead in the night sky.",2/25/20,Sighting,Sighting : Girard,42.0003337,-80.31811929999999
2/23/20 09:45,Denver,CO,Formation,5 minutes,Stealh Bomber shaped smear of low lights slowly moving across the sky,2/25/20,Sighting,Sighting : Denver,39.7392358,-104.990251
2/23/20 05:25,Newport,VT,Circle,25 minutes,"My self and a couple friends after work at 5:25am on 2/23/20 seen over a hundred white dots moving. (""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Newport,44.9364356,-72.2051022
2/23/20 05:00,Williston,VT,Formation,30 minutes,Precise straight line procession due East in predawn sky totalling hundreds of varying brightness star-like objects,2/25/20,Sighting,Sighting : Williston,44.4454432,-73.099194
2/23/20 01:00,North Kingstown,RI,Light,5 seconds,The object was a big ball of light and above the road. I saw this same object with a friend driving in north smithfield a different par,2/25/20,Sighting,Sighting : North Kingstown,41.5568315,-71.4536835
2/22/20 22:40,Denver,CO,Fireball,3 seconds,Big blue fireball,2/25/20,Sighting,Sighting : Denver,39.7392358,-104.990251
2/22/20 22:00,Antelope,CA,Circle,5 minutes,Blue/White lights observed from the south. Proceeded north directly above us and disappeared in the distance. Multiple craft with con,2/25/20,Sighting,Sighting : Antelope,38.7166871,-121.3644216
2/22/20 21:53,Selma,IN,Circle,2-3 minutes,"Blinking red,green and blue object in sky moving erratically. Orange diamond shaped &quot;portal&quot; with blue streaks of light comi",2/25/20,Sighting,Sighting : Selma,40.1917102,-85.2688579
