Site Name,Lat,Long,Type,Color,text
ANO,35.31028,-93.23139,Nuclear Site,#ff0000,Nuclear Site : ANO
Beaver Valley,40.62333,-80.43056,Nuclear Site,#ff0000,Nuclear Site : Beaver Valley
Braidwood,41.24361,-88.22917,Nuclear Site,#ff0000,Nuclear Site : Braidwood
Browns Ferry,34.70389,-87.11861,Nuclear Site,#ff0000,Nuclear Site : Browns Ferry
Brunswick,33.95833,-78.01028,Nuclear Site,#ff0000,Nuclear Site : Brunswick
Byron,42.07417,-89.28194,Nuclear Site,#ff0000,Nuclear Site : Byron
Callaway,38.76167,-91.78,Nuclear Site,#ff0000,Nuclear Site : Callaway
Calvert Cliffs,38.43194,-76.44222,Nuclear Site,#ff0000,Nuclear Site : Calvert Cliffs
Catawba,35.05167,-81.07,Nuclear Site,#ff0000,Nuclear Site : Catawba
Clinton,40.17222,-88.835,Nuclear Site,#ff0000,Nuclear Site : Clinton
Columbia,46.47111,-119.33389,Nuclear Site,#ff0000,Nuclear Site : Columbia
Comanche Peak,32.29833,-97.785,Nuclear Site,#ff0000,Nuclear Site : Comanche Peak
Diablo Canyon,35.21083,-120.85611,Nuclear Site,#ff0000,Nuclear Site : Diablo Canyon
Donald C. Cook,41.97528,-86.56583,Nuclear Site,#ff0000,Nuclear Site : Donald C. Cook
Dresden,41.38972,-88.26806,Nuclear Site,#ff0000,Nuclear Site : Dresden
Edwin I. Hatch,31.93417,-82.34389,Nuclear Site,#ff0000,Nuclear Site : Edwin I. Hatch
Fermi,41.96278,-83.2575,Nuclear Site,#ff0000,Nuclear Site : Fermi
Grand Gulf,32.00667,-91.04833,Nuclear Site,#ff0000,Nuclear Site : Grand Gulf
Hope Creek,39.46778,-75.53806,Nuclear Site,#ff0000,Nuclear Site : Hope Creek
Indian Point,41.26972,-73.95222,Nuclear Site,#ff0000,Nuclear Site : Indian Point
Joseph M. Farley,31.22306,-85.11167,Nuclear Site,#ff0000,Nuclear Site : Joseph M. Farley
LaSalle,41.24556,-88.66917,Nuclear Site,#ff0000,Nuclear Site : LaSalle
Limerick,40.22667,-75.58722,Nuclear Site,#ff0000,Nuclear Site : Limerick
McGuire,35.4325,-80.94833,Nuclear Site,#ff0000,Nuclear Site : McGuire
Millstone,41.31194,-72.16861,Nuclear Site,#ff0000,Nuclear Site : Millstone
Nine Mile Point,43.52083,-76.40694,Nuclear Site,#ff0000,Nuclear Site : Nine Mile Point
North Anna,38.06056,-77.78944,Nuclear Site,#ff0000,Nuclear Site : North Anna
Oconee,34.79389,-82.89806,Nuclear Site,#ff0000,Nuclear Site : Oconee
Palo Verde,33.38917,-112.865,Nuclear Site,#ff0000,Nuclear Site : Palo Verde
Peach Bottom,39.75833,-76.26806,Nuclear Site,#ff0000,Nuclear Site : Peach Bottom
Perry,41.80083,-81.14333,Nuclear Site,#ff0000,Nuclear Site : Perry
Point Beach,44.28111,-87.53667,Nuclear Site,#ff0000,Nuclear Site : Point Beach
Prairie Island,44.62167,-92.63306,Nuclear Site,#ff0000,Nuclear Site : Prairie Island
Quad Cities,41.72639,-90.31,Nuclear Site,#ff0000,Nuclear Site : Quad Cities
Saint Lucie,27.34861,-80.24639,Nuclear Site,#ff0000,Nuclear Site : Saint Lucie
Salem,39.46278,-75.53556,Nuclear Site,#ff0000,Nuclear Site : Salem
Seabrook,42.89889,-70.85083,Nuclear Site,#ff0000,Nuclear Site : Seabrook
Sequoyah,35.22639,-85.09167,Nuclear Site,#ff0000,Nuclear Site : Sequoyah
South Texas,28.79556,-96.04889,Nuclear Site,#ff0000,Nuclear Site : South Texas
Surry,37.16556,-76.69778,Nuclear Site,#ff0000,Nuclear Site : Surry
Susquehanna,41.08889,-76.14889,Nuclear Site,#ff0000,Nuclear Site : Susquehanna
Turkey Point,25.43417,-80.33056,Nuclear Site,#ff0000,Nuclear Site : Turkey Point
Vogtle,33.14306,-81.76583,Nuclear Site,#ff0000,Nuclear Site : Vogtle
Waterford,29.99528,-90.47111,Nuclear Site,#ff0000,Nuclear Site : Waterford
Watts Bar,35.60278,-84.78944,Nuclear Site,#ff0000,Nuclear Site : Watts Bar
Wolf Creek,38.23889,-95.68889,Nuclear Site,#ff0000,Nuclear Site : Wolf Creek
